Original_Review,측면 및 감성 추출,label
"내가 점심때 지나서 커피 마시러 가니 한적하고 좋았어요","커피음료(긍정), 혼잡도_웨이팅(긍정)",100000000001
"생일축하용 케이크하려고 서프라이즈했는데 너무 예뻐서 1차 감동 맛있어서 2차 감동해줘서 뿌듯했어요","케이크(긍정)",001000000000
"분위기 너무 미쳤구요 음료도 술도 진짜 레전드입니다.. 단골 확정..!!!!!!","커피음료(긍정), 분위기감성(긍정)",100000010000
"기념일 데이트를 위해 방문했는데 맛과분위기 모두만족했습니다.","분위기감성(긍정)",000000010000
"매장도 깔끔하고 커피, 빵 맛있어요","커피음료(긍정), 베이커리빵(긍정), 공간편의시설(긍정)",110000100000
"사진 찍기전에 먹어버린 쌀소금빵이랑, 흑임자크림소금빵. 흑임자크림 소금빵 샀는데, 계산하시는 분이 생크림으로 찍었네용. 흑임자크림소금빵 맛있지만 쌀소금빵을 더 강츄츄츄","베이커리빵(긍정), 서비스(부정)",010000002000
"레고도 잘 구비되어있고 매장도 청결하고... 가격도 합리적이라 여러모로 좋았습니다.","공간편의시설(긍정), 가격가성비(긍정)",000000100100
"맛있어요!!! 특히나 인테리어가 너무 예뻐요","분위기감성(긍정)",000000010000
"많이 달지 않고 너무 맛있어요","대상 모호(없음)",000000000000
"카피바라빵이 귀엽고 맛있어요!","베이커리빵(긍정)",010000000000
"케이크가 너무 귀엽고 맛있어요! 인테리어도 차분하고 예쁜 우드톤이고... 커피도 맛있었어요","커피음료(긍정), 케이크(긍정), 분위기감성(긍정)",101000010000
"인형 완전 귀여워요 아이스크림도 예상 못하게 맛있는 맛이에요! 친절하게 안내해 주셔서 감사합니다","기타디저트(긍정), 서비스(긍정)",000001001000
"종류도 많고 직원분도 친절하세요","서비스(긍정)",000000001000
"케이크가 정말 맛있고 매장분위기가좋아요","케이크(긍정), 분위기감성(긍정)",001000010000
"어니언스프 맛있어요. 바게트빵 맛집. 파스타 맛집","베이커리빵(긍정)",010000000000
"커피도 너무 맛있고 디저트도 너무 맛있어요!","커피음료(긍정), 기타디저트(긍정)",100001000000
"마늘빵베이컨(?)이 진짜 맛있어요! 베이글을 매장에서 먹고 가면 데워주시는데 약간 뜨듯하니 너무 맛있어요!!","베이커리빵(긍정), 서비스(긍정)",010000001000
"디저트 넘 예쁘고 맛있네욤 !! 내부가 편안한 분위기라 친구들과 수다떨며 놀기 좋습니다 재방문 의사 있습니다","기타디저트(긍정), 분위기감성(긍정)",000001010000
"올겨울은 요즘 핫한 성수 소금빵X붕어빵... 너무너무 맛있음","베이커리빵(긍정)",010000000000
"그냥 인별용 감성 느끼려고 가는 곳이다... 에어팟이 더 좋더라고요.","분위기감성(부정), 가격가성비(부정)",000000020200
"여유로운 시간을 즐기고싶다면... 예약 시 금액에 음료값이 포함되어있어서 좋았어요! 꽃도 가져갈 수 있고 오랜만에 연필로 끄적끄적해보고왔네요 햇볕이 드는 창가 앞에서 오래도록앉아있어서 뜨거워서 모자는 필수로 가져가면 좋을 것같아요 뒷자리에 앉으면 조금 덜하지만 앞자리가 뷰보기엔 최고! 잔잔한 음악과 푹신한 쿠션방석 덕분에 편하게 있다 가네요 처음이였는데 다음에 또 가보고싶은 곳이에요 가끔 복잡하거나 답답할 때 찾아갈 곳이 생긴 것같아 좋아요","커피음료(긍정), 공간편의시설(긍정), 분위기감성(긍정), 가격가성비(긍정)",100000110100
"넓어서 모임하기 좋고 시원하고 빵도 맛있어요","베이커리빵(긍정), 공간편의시설(긍정)",010000100000
"디저트 종류가 많아 좋았어요. 대기가 21팀이라 포기하고 포장하니 빠르네요. 친절해서 좋았습니다.","기타디저트(긍정), 서비스(긍정), 혼잡도_웨이팅(부정)",000001001002
"카운터 글귀 맘에 쏙 드네요 조용히 편안해서 대화하기 좋아요","분위기감성(긍정)",000000010000
"너무 맛있어요 특히 망고빙수!!!","빙수과일(긍정)",000010000000
"레터링케이크는 이제 좀 지겨워서 특별하고 이색적인 케이크 찾다가 발견했는데 맛도 맛있고 생일당사자도 너무 좋아햇우용","케이크(긍정)",001000000000
"수플레가 땡겨서 아무 정보도 없이 들어왔는데 분위기도 좋고 편안하게 즐길 수 있는 곳입니당 성수동에 유명한 커페 종종 가는데 커피도 괜찮고 디저트도 완전 맛도리여서 담에 또 오려구용!!!","기타디저트(긍정), 분위기감성(긍정)",000001010000
"매번 맛있게 먹고가요 ) 진짜 진짜 맛나요","대상 모호(없음)",000000000000
"언뜻 외관을 봤을 때 간판도 없는데 사람이 많아 궁금해서 방문했어요. 일단 저는 커피를 못어서 카페를 고를 때 커피 외 어떤 메뉴가 있는지 항상 보게 되는데, 밀크티가 있더라고요. 그래서 아메리카노5,500원, 애플시나몬밀크7,500원 주문! 사람이 워낙 많고 테이블이나 의자도 좁은 편이다보니 편안하게 대화하면서 있기가 힘들었어요.","커피음료(긍정), 공간편의시설(부정), 혼잡도_웨이팅(부정)",100000200002
"요즘 차 문화문화에 빠져서 집에서 주문해 먹다 티룸 방문했어요. 호지차라떼도 쑥 티라미수도 많이 달지 않아 좋았고 차와 잘 어울려요.","커피음료(긍정), 케이크(긍정)",101000000000
"대화하기 좋아요 ) 문쑴기록지","분위기감성(긍정)",000000010000
"바질토마토 에이드가 생각보다 너무 맛있었어요 디저트도 쫀맛 군고구마 바닐라이이스크림도 진짜 맛있으니끼 꼭!! 먹어야해요","커피음료(긍정), 기타디저트(긍정)",100001000000
"재방문 의사 있습니다!!!!!","대상 모호(없음)",000000000000
"넘넘 분위기가 좋아요..! 컨셉이 확실한 카페라 아주 만족합니다!","분위기감성(긍정)",000000010000
"직원 분들도 친절하시고 커피 원두도 맛있어요... 인테리어가 인상적입니다","커피음료(긍정), 분위기감성(긍정), 서비스(긍정)",100000011000
"음식도 맛있고 강아지도 동반되서 너무 좋아요","공간편의시설(긍정)",000000100000
"카페 분위기도 좋고 매장도 엄청 시원해요!! 디저트도 맛있는데 이뻐서 눈도 입도 행복해용 다음에 성수동 오면 또 여기 오려구요","기타디저트(긍정), 공간편의시설(긍정), 분위기감성(긍정)",000001110000
"좋은데 시간이 좀 모자라서 그래도 신선한 추억이었음","서비스(부정)",000000002000
"분위기가 정말 시원하고 쾌적해서 좋았어요 시원한 음료와 시그니처 디저트인 바스크 치즈케이크를 먹었는데, 모두 만족스러웠어요! 치즈케이크는 부드럽고 진한 풍미가 인상적이었고, 음료도 맛있고 깔끔해요. 혼자 와도 친구와 와도 편안한 분위기라 다음에도 또 오고 싶네요 덤으로 사진 스팟도 많아요!!! 너무 잘 꾸며져있는 카페","케이크(긍정), 공간편의시설(긍정), 분위기감성(긍정)",001000110000
"주말에 방문했을땐 줄이 너무 길어서... 평일에 방문하니 줄이 많이 길지않아 좋았어요!","베이커리빵(긍정), 혼잡도_웨이팅(중립)",010000000003
"대기줄 많지않았어요 소금빵 입짧은 동생도 좋아함","베이커리빵(긍정), 혼잡도_웨이팅(긍정)",010000000001
"원목의 따뜻한 느낌!!... 솔티드 버터 생식빵 맛났어요","베이커리빵(긍정), 분위기감성(긍정)",010000010000
"역시라떼 맛있어요... 다만 좌석 간격이 좁아서 대화시 집중이 잘안되는 단점이 있습니다.","커피음료(긍정), 공간편의시설(부정), 혼잡도_웨이팅(부정)",100000200002
"성수역 핫플 중에 딸기생크림케이크 맛집 소개받아 포장하여 집에서 맛나게 먹었네요. 동물성생크림이 신선한 딸기랑 잘 어울려서 딸기철 지나가는게 아쉽네요. 다음엔 망고생크림케이크 먹어보러 가렵니다.","케이크(긍정), 선물포장(긍정)",001000000010
"오리는 친절하고 커피는 맛있어요","커피음료(긍정), 서비스(긍정)",100000001000
"자리도 너무 불편하고... 일단 디저트가 너무 늦게 나와요... 개선바랍니다","공간편의시설(부정), 서비스(부정)",000000202000
"생각보다 공간이 넓고... 힐링이 되긴했습니다.","공간편의시설(긍정), 분위기감성(긍정)",000000110000
"추천받아소 왓는데 분위기도 좋네요..!","분위기감성(긍정)",000000010000
"맛있어요!!! 종류도 많아서 고르는 재미가 있습니다","대상 모호(없음)",000000000000
"프렌치 토스트 먹으러 왔어요 레몬딜 에이드 상큼하고 맛있어요","커피음료(긍정), 베이커리빵(긍정)",110000000000
"칭구 생일선물로 예약주문하였고 설향딸기케이크... 맛있었습니다","케이크(긍정), 선물포장(긍정)",001000000010
"음료가 굉장히 맛있고 사장님께서 굉장히 친절하게 맞이해 주셨어요!!","커피음료(긍정), 서비스(긍정)",100000001000
"매장이 넓진 않지만 깔끔하고 특별한 메뉴도 있고 맛있어요","공간편의시설(중립), 분위기감성(긍정)",000000310000
"원래부터 유명해서... 성수동에 매장이 있다고 해서 방문했습니다!","대상 모호(없음)",000000000000
"매장 내부가 의외로 넓고 특히 인테리어가 넘 예쁘고 느낌있더라구요 디저트들도 넘 맛있고 시그니처인 하이라인라떼 넘 예쁘고 달달해서 좋았어요. 다음에 또 다른 디저트들 먹으러 올게요","커피음료(긍정), 기타디저트(긍정), 공간편의시설(긍정), 분위기감성(긍정)",100001110000
"음식이 맛있고, 무엇보다 사진도 너무 예쁘게 나와요... 테라스에서 먹기 너무 좋아요","공간편의시설(긍정), 분위기감성(긍정)",000000110000
"평일 낮에 왔는데 사람 별로 없고 여유있고 좋아요... 커피랑 모찌디저트류도 다 맛있어요!!","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정), 혼잡도_웨이팅(긍정)",100001010001
"성동아트홀 공연보고 음료한잔 여운 즐기기에 좋아요","커피음료(긍정)",100000000000
