Original_Review,label
디저트가 흐트러지지 않게 박스에 고정을 너무 잘 해주셨네요.,000000000010
꿀라떼 맛집입니다! 강추합니다,100000000000
"에어컨 안틀어서 그런지 들어올때 공기도 탁하고, 후끈했어요,,, 특히 공기순환 안되서 그런지 안좋은 냄새가 문열자마자 훅 났어요,,,",000000200000
"햇살이 부드럽게 들어오는 창가 자리에서 마신 라떼 한 잔 공간이 주는 여유로움이 하루의 피로를 다 녹여줬다. 잔잔한 음악, 따뜻한 향기, 그리고 느리게 흐르는 시간. 그냥 잠시 멈춰 있고 싶어지는 곳.",100000110000
젤리 식감이 너무 딱딱해서 씹기가 힘들고 맛도 인위적입니다.,000002000000
맛있어요! 케이크 존맛 라떼 존맛,101000000000
디카페인도 추가금 없고 라떼에 기본으로 락토프리 우유 사용하는것도 너무 좋아요,100000000100
가성비도 좋고 맛도 좋고 사장님도 착하세요!! 감사합니당,000000001100
커피 맛은 그냥 무난한 편이라 크게 호불호가 갈리지 않을 것 같아요.,300000000000
커피도 맛있고 크루아상도 맛있었어요.,110000000000
파인애플이 너무 셔서 입천장이 까질 정도였습니다. 선별이 안 된 듯.,000020000000
유기농 잼을 사용한 요리래요! 넘 맛있어요. 데이트 잘하고 갑니다,000001000000
우유얼음에 맛좋은 흑임자 빙수네요. 다만 스푼이 너무 짧은 미니라서 떠먹기 불편군요,000010200000
라떼 아트가 심상치 않았는데 역시나 세계 챔피언이시더라구요! 커피도 너무 맛있고 분위기도 좋고 사장님도 너무 친절하셔서...,100000011000
뵈르니 케이크 덕분에 행복한 기념일 보냈습니다! 정말 세상 화려하고 예뻐서 기념일뿐만 아니라 웨딩케익으로 써도 좋을 거 같아요.,001000000000
자주와서 먹을수록 더 맛있는 베이글이에요,010000000000
빵이 바로 나와서 따끈따끈해서 좋았어요,010000000000
특이하고 예뻤어요 디저트도 예쁘고 커피도 맛있었어요,100001010000
옥수수 미쳤어요! 옥수수 크림라떼 옥수수 프렌치토스트 두번 세번 드세요... 사장님도 친절하시고 정성 이 느껴지는 맛입니다,110001001000
친절하시고 빨리나와서 출근전에 항상 들려요,000000001000
다먹어갈때쯤 샌드위치에 파스타건더기좀 넣어서 먹으면 짱맛이었어요... 파스타에같이있던 식빵두조각도 먹어보니 우유맛도느껴지는거보니 그냥식빵사도 맛있을거같아요!,010000000000
