Original_Review,Aspects,Sentiments,Empty,label,,
커피 향 진짜 미쳤네요;; 한 입 마시자마자 극락 감,커피_음료,긍정,,100000000000,,
아메리카노 산미 아예 없고 고소함 그 자체라 완전 취저임,커피_음료,긍정,,100000000000,,
와 라떼 아트도 예쁜데 우유 스팀 진짜 쫀쫀하고 고소함 대박,커피_음료,긍정,,100000000000,,
인생 커피 등극.. 원두 어디꺼 쓰시는지 물어보고 싶을 정도임,커피_음료,긍정,,100000000000,,
여기 핸드드립은 진짜 찐이다 향이 입안에서 계속 맴돔,커피_음료,긍정,,100000000000,,
아인슈페너 크림 쫀득하니 커피랑 조합 미쳤음 ㅠㅠㅠ,커피_음료,긍정,,100000000000,,
커피 원두 풍미가 너무 깊어서 마시는 내내 행복했음,커피_음료,긍정,,100000000000,,
에이드 과일 과육 씹히는 거 실화? 진짜 상큼하고 맛남,커피_음료,긍정,,100000000000,,
커피 맛집이라더니 진짜네.. 아아 농도 딱 적당하고 좋음,커피_음료,긍정,,100000000000,,
여기 시그니처 음료 안 마시면 손해임 진짜 존맛탱,커피_음료,긍정,,100000000000,,
커피 퀄리티 실화냐? 동네 카페 수준이 아님 ㄹㅇ,커피_음료,긍정,,100000000000,,
밀크티 향긋하고 적당히 달달해서 원샷 때림 ㅋㅋㅋ,커피_음료,긍정,,100000000000,,
오랜만에 진짜 맛있는 커피 마셔서 기분 너무 좋음 bb,커피_음료,긍정,,100000000000,,
말차라떼 진하고 꾸덕하니 완전 내 스타일!!,커피_음료,긍정,,100000000000,,
원두 신선한 게 맛에서 바로 느껴짐 크레마 대박,커피_음료,긍정,,100000000000,,
커피 한 입 먹자마자 눈 번쩍 뜨임 존맛 그 자체,커피_음료,긍정,,100000000000,,
디카페인인데도 일반 커피랑 차이 없을 정도로 맛있음,커피_음료,긍정,,100000000000,,
여기는 진짜 커피로 승부 보는 곳인 듯 퀄리티 ㄷㄷ,커피_음료,긍정,,100000000000,,
스무디 양도 많고 과일 맛 진해서 너무 만족함,커피_음료,긍정,,100000000000,,
콜드브루 깔끔함 미쳤음 뒷맛이 너무 개운함,커피_음료,긍정,,100000000000,,
커피 향 솔솔 나는데 마시기 전부터 이미 맛있음,커피_음료,긍정,,100000000000,,
라떼 덕후인데 여기 라떼는 진짜 인정합니다 짱맛,커피_음료,긍정,,100000000000,,
음료 비주얼도 예쁜데 맛은 더 예쁨 ㅠㅠ 최고,커피_음료,긍정,,100000000000,,
커피 중독자인데 여기 커피는 진짜 매일 마시고 싶음,커피_음료,긍정,,100000000000,,
플랫화이트 고소함이 남다름.. 꼭 드셔보세요,커피_음료,긍정,,100000000000,,
상큼한 티 종류도 많고 블렌딩 진짜 잘하신 듯,커피_음료,긍정,,100000000000,,
커피 맛이 예술임.. 한 방울도 안 남기고 다 마심,커피_음료,긍정,,100000000000,,
단골 예약입니다 커피가 어쩜 이렇게 맛있지?,커피_음료,긍정,,100000000000,,
초코라떼 찐하고 고급진 맛이라 당 충전 제대로 됨,커피_음료,긍정,,100000000000,,
여기 커피는 그냥 믿고 마심 실패가 없음,커피_음료,긍정,,100000000000,,
커피 진짜 노답.. 탄 맛 너무 심해서 사약 마시는 줄,커피_음료,부정,,200000000000,,
아메리카노 너무 연해서 그냥 보리차 같아요 돈 아까움,커피_음료,부정,,200000000000,,
음료에서 이상한 수돗물 냄새 남 ㅡㅡ 다 버림,커피_음료,부정,,200000000000,,
라떼 우유 비린내 심해서 한 입 먹고 못 먹겠음,커피_음료,부정,,200000000000,,
에이드 시켰는데 시럽 맛만 너무 강하고 인위적임,커피_음료,부정,,200000000000,,
커피 산미가 너무 강해서 식초 마시는 줄 알았네요 극혐,커피_음료,부정,,200000000000,,
스무디 얼음 알갱이가 너무 커서 빨대로 안 빨림 노답,커피_음료,부정,,200000000000,,
음료 양 진짜 적음 몇 번 빨면 끝남 개실망,커피_음료,부정,,200000000000,,
커피 원두가 오래됐는지 쩐내 나고 최악임,커피_음료,부정,,200000000000,,
초코 음료 시켰는데 물 탄 맛 나고 밍밍함 그 자체,커피_음료,부정,,200000000000,,
디카페인 커피 진짜 맛없네요.. 이렇게 맛없기도 힘듦,커피_음료,부정,,200000000000,,
음료가 너무 달아서 혀가 마비되는 줄 알았음,커피_음료,부정,,200000000000,,
아인슈페너 크림 다 분리되고 느끼해서 못 먹겠음,커피_음료,부정,,200000000000,,
여기 커피 맛있대서 왔는데 진심 편의점보다 못함,커피_음료,부정,,200000000000,,
티백 대충 우려낸 티가 너무 남 성의 1도 없음,커피_음료,부정,,200000000000,,
커피가 너무 미지근하게 나와서 기분 잡침,커피_음료,부정,,200000000000,,
딸기라떼 딸기 상태가 별로인지 시큼하고 별로임,커피_음료,부정,,200000000000,,
음료 비주얼만 좋고 맛은 진짜 꽝임 낚였음,커피_음료,부정,,200000000000,,
커피 향이 아예 안 느껴짐 그냥 검은색 물임,커피_음료,부정,,200000000000,,
에스프레소 너무 써서 탄 맛만 나고 풍미 1도 없음,커피_음료,부정,,200000000000,,
아니 음료에 얼음이 90%임 장난하나;;,커피_음료,부정,,200000000000,,
커피 마시고 속 쓰린 거 처음임 원두 의심됨,커피_음료,부정,,200000000000,,
시그니처라고 해서 시켰는데 무슨 맛인지 모르겠음 노맛,커피_음료,부정,,200000000000,,
라떼가 너무 묽어서 우유에 물 탄 줄 알았음,커피_음료,부정,,200000000000,,
녹차라떼 가루 뭉쳐서 나오고 텁텁해서 최악,커피_음료,부정,,200000000000,,
커피 밸런스 엉망진창임 쓰고 시고 난리 남,커피_음료,부정,,200000000000,,
음료 재료 아낀 티 너무 나서 다시는 안 갈 듯,커피_음료,부정,,200000000000,,
콜드브루 쉰 맛 나는 거 같은데 상태 체크 좀 하셔야 할 듯,커피_음료,부정,,200000000000,,
여기 음료는 진짜 돈 버리는 수준임 비추,커피_음료,부정,,200000000000,,
커피 한 모금 마시고 바로 후회함 개노맛,커피_음료,부정,,200000000000,,
아메리카노는 그냥 평범한 맛이에요,커피_음료,중립,,300000000000,,
원두 선택 가능한데 산미 있는 걸로 했음,커피_음료,중립,,300000000000,,
커피 양은 보통이고 맛도 딱 예상한 수준,커피_음료,중립,,300000000000,,
라떼에 우유 양이 좀 많은 편인 것 같아요,커피_음료,중립,,300000000000,,
에이드 아래에 청이 깔려있어서 잘 섞어 마셔야 함,커피_음료,중립,,300000000000,,
음료 종류가 다양해서 고르기 힘들었네요,커피_음료,중립,,300000000000,,
커피 맛이 나쁘진 않은데 굳이 찾아올 정도는 아님,커피_음료,중립,,300000000000,,
그냥 동네 흔한 카페 커피 맛임 쏘쏘,커피_음료,중립,,300000000000,,
디카페인으로 변경하면 천 원 추가됨,커피_음료,중립,,300000000000,,
티 메뉴는 티백이랑 과일 조각이 같이 들어가 있음,커피_음료,중립,,300000000000,,
커피가 좀 진한 편이라 연하게 드실 분은 미리 말해야 할 듯,커피_음료,중립,,300000000000,,
음료 비주얼은 사진이랑 똑같이 나옵니다,커피_음료,중립,,300000000000,,
아메리카노 시키면 기본 2샷 들어간다고 하네요,커피_음료,중립,,300000000000,,
커피 향은 좋은데 뒷맛이 살짝 씁쓸해요,커피_음료,중립,,300000000000,,
음료 위에 크림이 반 정도 올라가 있는 스타일임,커피_음료,중립,,300000000000,,
라떼 아트 없이 그냥 평범하게 나옴,커피_음료,중립,,300000000000,,
여름 메뉴로 수박 주스 팔고 있네요,커피_음료,중립,,300000000000,,
커피 온도가 적당해서 바로 마시기 편했음,커피_음료,중립,,300000000000,,
음료 맛이 자극적이지 않고 건강한 느낌임,커피_음료,중립,,300000000000,,
아이스 음료 시켰는데 얼음이 자잘한 스타일이네요,커피_음료,중립,,300000000000,,
커피 원두 설명 카드가 같이 나와서 읽어봄,커피_음료,중립,,300000000000,,
음료 양은 딱 톨 사이즈 정도 되는 것 같음,커피_음료,중립,,300000000000,,
특별한 맛은 아니고 누구나 아는 그 맛임,커피_음료,중립,,300000000000,,
