text,aspect,classification_method
말차맛 커피믹스라고 해서 신기해서 구매해봤어요!!,"Dessert/Bakery, Coffee/Drink",keyword
말차맛 볶은쌀맛 많이 안 달고 고소함,"Dessert/Bakery, Coffee/Drink",keyword
오리지널 선물할 곳이 있어 갔는데 항상 친절하게 맞이해주셔서 너무 좋네요!,"Vibe, Service, Coffee/Drink, Price, Dessert/Bakery",keyword
"외국인들도 많이 구매하시던데, 선물하기에 너무 좋습니다.","Dessert/Bakery, Coffee/Drink, Price",keyword
맛은 말할 것도 없고요!,"Dessert/Bakery, Coffee/Drink",keyword
전부 시음해보고 메론맛이랑 시나몬약과맛이랑 겟겟,"Dessert/Bakery, Coffee/Drink",keyword
"배민 파운더가 만든 맛있는 음료
가격은 럭셔리에요","Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
시음해보고 들어갔는데 진짜 메로나맛^^ 너무 맛있어요~~,"Dessert/Bakery, Coffee/Drink",keyword
아이들도 이거 우리거 먹어도 되냐며 ㅎㅎㅎ 집에서는 얼음넣고 시원하게 아이스로 하서 마셨어여,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
커피믹스 종류가 여러가지인데 맛볼 수 있어요.,"Vibe, Coffee/Drink",keyword
전 오리지널이 깔끔하고 먹고나서도 텁텁하지 않아 좋았어요.,"Dessert/Bakery, Coffee/Drink",keyword
커피믹스를 좋아하신 어머니의 경우 우유맛이 많이 나서 오히려 텁텁하시다고 하네요,"Dessert/Bakery, Coffee/Drink",keyword
엄마가 한 번 드셔보시더니 그냥 믹스커피랑 다르고 텁텁함 없이 너어무 맛있다고 하셔서 한 박스 사다드렸어,"Dessert/Bakery, Coffee/Drink",keyword
오~~,"Dessert/Bakery, Coffee/Drink",keyword
12월 10일자로 커피 테이크아웃 판매는 종료됐대요,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
오픈때 가보고 오랜만에 갔는데 다시는 안갈거같습니다,Dessert/Bakery,keyword
서비스는 후퇴했고 땅콩붕어빵은 덜 구워졌고 그냥 총체적 난국이요..,"Service, Dessert/Bakery, Coffee/Drink",keyword
안그래도 좁은 매장에 손님들 줄서는거 관리 하나 못하는 알바생 환장콤보 ㅠㅠ 멀뚱히 서있는거 보는 제가 다 속터져요,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
기분좋게 갔다가 화병나서 갑니다,"Vibe, Coffee/Drink",keyword
시음을 못해서 아쉬웠어요.,"Dessert/Bakery, Coffee/Drink",keyword
선물로 드리니 좋아하시네요.,"Vibe, Price",keyword
개인마다 취향이 다른것 같아요.,Dessert/Bakery,keyword
"저는 오리지날, 동생은 볶음쌀이 좋다고 합니다.","Dessert/Bakery, Coffee/Drink",keyword
좋은 우유분말을 써서 고급지고 부드러운 맛이 납니다.,"Dessert/Bakery, Coffee/Drink",keyword
"바나나우유맛 밖에 배너에 10프로할인이라해놓고 안에매장 가격텍에도 할인가격해놨는데
결제하고나니 가격더비싸길래 왜그러냐하니
어제부로?","Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
"할인끝났다고
어이없음
배너치우고 매장안에도정리를해야알지","Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
그리고계산전에설명도안해주고 카드긁어버리는건무슨경우인지,"Service, Dessert/Bakery, Coffee/Drink",keyword
궁금해하던 차에 시음을 하길래 먹어보고 바로 들어갔어요.,"Dessert/Bakery, Coffee/Drink",keyword
사실 맛 보다는 분위기가 독특하고 유니크해서 끌렸던 듯 해요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
맛은 그냥 아는 맛...?,Coffee/Drink,keyword
그래서 선물용으로 좋을 것 같아요,"Dessert/Bakery, Price",keyword
"성수동 커피슬러시
2,500원
가성비 괜찮습니다","Coffee/Drink, Price",keyword
유니크한 다양한맛의 믹스커피를 맛볼 수 있어서 좋았습니다!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
하나씩 먹어보러 또올거같아요!,"Dessert/Bakery, Coffee/Drink",keyword
오리지널맛기준 가격비쌈,Price,keyword
그냥 일반믹스가 맛있음,Coffee/Drink,keyword
볶음쌀커피는 특이해서 좋아요,"Dessert/Bakery, Coffee/Drink",keyword
"양이 좀 적긴하지만
근데 진심 오란다는……….","Dessert/Bakery, Coffee/Drink",keyword
특이한걸로만 대중눈 사로잡고 맛없게 만들면 어째요ㅠㅠㅠㅠ ㅠㅠ.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
ㅠㅠㅠ시장 옛날과자가 훨씬맛있어요,Dessert/Bakery,keyword
"여름이 가기 전에 꼭 팥빙수 슬러시를 먹고 싶었는데, 놓치지 않았네요!","Dessert/Bakery, Coffee/Drink",keyword
머리가 띵 - 해질정도로 맛있어요!,Vibe,keyword
완전 추천합니다.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
아이스 팥빙수맛 믹스커피도 먹으러 가야겠어요,Coffee/Drink,keyword
"더서울현대에서 오리지널 맛을 먹었는데 적당히 달달하고 맛있었어요 :-) 2500원 가격도 넘나 귀엽,,","Vibe, Coffee/Drink, Price",keyword
뉴믹스커피 완전 달달하니 맛있네요,Coffee/Drink,keyword
뉴믹스 궁금해서 와봤어요,"Dessert/Bakery, Coffee/Drink",keyword
커피는 믹스고급버전 같아요,"Dessert/Bakery, Coffee/Drink",keyword
"내부 매장는 없고 , 야외 테이블 있어요","Dessert/Bakery, Coffee/Drink, Vibe",keyword
새로운 느낌의 믹스커피!,Coffee/Drink,keyword
자판기 커피랑 비슷하면서 달라요,"Dessert/Bakery, Coffee/Drink",keyword
내돈내산 찐 추천 •• !,"Vibe, Coffee/Drink, Price",keyword
❤️ 사실 매장앞의 시음을 하고나니 넘 맛있어서 다른 음료도 궁금해져서 바로 매장으로 들어가 주문해서 마셔봤어요 !,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
특히 직원분들께서 다들 친절하시고 밝은 에너지 덕에 더운 여름날에도 기분 좋게 머무를 수 있어서 좋았습니다,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
믹스커피의 에르메스 인정 !,Coffee/Drink,keyword
한국 믹스커피를 젊은 사람들 대상으로 만든 커피 같음.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"맛있고, 여러가지 맛 있어서 좋음.","Vibe, Coffee/Drink",keyword
선물하기도 좋은듯!,"Dessert/Bakery, Coffee/Drink, Price",keyword
믹스를 쌀맛으로 즐겼어요 ㅎㅎㅎ,Coffee/Drink,keyword
맛있고 깔끔해요!!,"Dessert/Bakery, Coffee/Drink",keyword
커피도 맛있고 젊은 직원들이 너무 친절하네요!,"Service, Dessert/Bakery, Coffee/Drink",keyword
달달하니 한입 컷으로 다 쪽 빨아먹었다지 뭐예요,Coffee/Drink,keyword
내부도 멋져용,Dessert/Bakery,keyword
커피가 맛있어요,Coffee/Drink,keyword
선물하기 너무 좋네요!,"Dessert/Bakery, Coffee/Drink, Price",keyword
뉴믹스커피는 스마트스토어에서 구매한데 오란다는 구매 안되서 부천까지 배달하고 왔어요!,"Dessert/Bakery, Coffee/Drink",keyword
흑임자도 맛있고 오리지널도 너무 추천합니다..,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
오란다는 사랑 그 자체,"Dessert/Bakery, Coffee/Drink",keyword
비주얼이 독특해서 SNS인증하는 재미가 있어요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
믹스커피라 빨리 나오고 디저트도 맛나요.,"Dessert/Bakery, Coffee/Drink",keyword
"테이크 아웃해서
근처에서 먹기 좋아요","Dessert/Bakery, Coffee/Drink",keyword
지난번에 맛있게 먹어서 성수 놀려온 김에 또 사려 왔어용♡,"Dessert/Bakery, Coffee/Drink",keyword
사실 여기는 군밤도 맛있고 볶은쌀맛도 맛있어서 고민고민하다 오리지널로 하나 구매했습니다,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"성수동 팝업갔다 우연히 발견한 믹스커피맛집
달달구리 더위사냥 아이스크림맛 ♡
더울때 한잔 마시니 에너지 업
오란다두 맛있구~~
밖에 테이블 있어용~","Dessert/Bakery, Coffee/Drink, Vibe",keyword
뉴믹스했어요,"Dessert/Bakery, Coffee/Drink",keyword
슬러시 넘 시원하고 좋아요!,"Dessert/Bakery, Coffee/Drink",keyword
오란다도 맛있어요~,"Dessert/Bakery, Coffee/Drink",keyword
녹차슬러시 맛있음,"Dessert/Bakery, Coffee/Drink",keyword
애매한 양과 애매한 가격이지만 적당히 진한 녹차맛이 아주 굿 마치 녹차마루를 슬러시로 만든 맛?,"Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
오리지널 슬러시는 더위사냥 맛 무난하게 맛있음,"Dessert/Bakery, Coffee/Drink",keyword
"매장 앞에서 ‘믹스커피 오리지널’ 시식후 추가 구매
에스프레소 라떼 보다는 달지만 커피믹스의 커피&단맛과는 또 다른 색다른 맛🙈
다른 메뉴들도 넘 궁금하네요.  (1box |10개 구매 가능)","Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
지나가면서 항상 보여서 한번 들어가봤어요.,Coffee/Drink,keyword
시음 해보고 맛있어서 오리지널 마셨습니다^^,"Dessert/Bakery, Coffee/Drink",keyword
"지나다 시음해보고 들어가서 오리지넌 슬러시 마셨어요
성수동 돌아다니며 더웠는데, 더위사냥처럼 시원하고 달달하니 눈이 번쩍 광명찾는 기분이었어요ㅋㅋㅋ","Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
아이스 밤라떼는 꼬숩고 바밤바 맛이 나요!,Coffee/Drink,keyword
밤맛 커피 아이스 맛있네요!!!,Coffee/Drink,keyword
